,Municipality,General_Coefficient,General_Accuracy,Prefecture_Coefficient,Prefecture_Accuracy,Municipality_Coefficient,Municipality_Accuracy
101,"Minami Ward,Yokohama City",1.0308093392267637,0.17872888766634878,1.0381794862339648,0.18220926942396096,1.0131592477130094,0.16705230919235273
102,"Hodogaya Ward,Yokohama City",1.0719170404500444,0.18034980279902452,1.0152427844029017,0.17234705574741757,1.0207175749024917,0.16504128986383787
103,"Isogo Ward,Yokohama City",1.0639593326048877,0.2045670465455161,1.0505776132624867,0.20442398543478713,1.0598913999416861,0.1998782145228526
104,"Kanazawa Ward,Yokohama City",0.9342508359583546,0.13838251754592681,0.9552062445867174,0.13780779381850025,0.9860339953995332,0.13171873697880218
105,"Kohoku Ward,Yokohama City",1.105940352636595,0.16368407478943517,1.0707482715903354,0.17257575674925146,1.1077856837819076,0.16296652163729694
106,"Totsuka Ward,Yokohama City",1.0133637548286587,0.1840469195173074,1.016712123976816,0.1834911134133446,0.995829205206378,0.18419770946229966
107,"Konan Ward,Yokohama City",1.053771151056046,0.1956677816903562,1.0202551114981344,0.18479875216141312,1.0031538288404382,0.17718694348455397
108,"Asahi Ward,Yokohama City",1.0608551642829178,0.17169856091178257,1.0,0.17847103372195017,1.0,0.18753834526308336
109,"Midori Ward,Yokohama City",1.1601575347091344,0.20328289393382803,1.1103826456941182,0.20467602640233365,1.0542227691728887,0.19321572484096947
110,"Seya Ward,Yokohama City",0.8808965620647278,0.1617120384826233,0.8795650709989689,0.1715810545163079,0.9112221438156888,0.1854679657707578
111,"Sakae Ward,Yokohama City",1.046031181279324,0.15941453157322197,1.0,0.1619202551608971,1.0,0.14932582413803064
112,"Izumi Ward,Yokohama City",1.0008470061522392,0.08531507364144468,1.0,0.07419390813681125,1.0,0.09064126373280344
113,"Aoba Ward,Yokohama City",1.0016001537368013,0.15884782714772633,1.0,0.17576181601538696,1.0,0.15355148231010537
114,"Tsuzuki Ward,Yokohama City",1.0,0.11962046915374591,1.0,0.12652993526748016,1.01044631049345,0.11655449751542721
115,"Kawasaki Ward,Kawasaki City",1.0457556196072515,0.1367230842994314,1.0362910372205312,0.13646554777439904,1.0204273985088606,0.1296825057172875
116,"Saiwai Ward,Kawasaki City",1.1578072289233627,0.13276425402394457,1.1359179194546118,0.1389184157780305,1.107500244510418,0.11001735963539754
117,"Nakahara Ward,Kawasaki City",1.127641601637834,0.11686012286909157,1.099102175945483,0.12477535001157694,1.1344247423469997,0.11686679503295808
118,"Takatsu Ward,Kawasaki City",1.030145794463419,0.130165526043968,1.0,0.13969394832704587,1.046236103043773,0.1274981070260057
